Semester,Industror,Course,Section,Title,Course Count,Course Mean,Instr Count,Instr Mean,Response Percentage,Year
Spring,"Wu, Eng",AC222,H1,Managerial Accounting,29,4.1,29,4.28,74%,2012
Spring,"Asadoorian, Ann Marie",AC222,I1,Managerial Accounting,27,4.15,27,4.48,60%,2012
Spring,"Wu, Eng",AC222,J1,Managerial Accounting,32,4.03,32,4.31,84%,2012
Spring,"Asadoorian, Ann Marie",AC222,K1,Managerial Accounting,33,3.94,33,4.33,72%,2012
Spring,"Asadoorian, Ann Marie",AC222,L1,Managerial Accounting,22,4.27,22,4.64,73%,2012
Fall,"Albuquerque, Ana",AC347,A1,Intermediate Accounting I,28,4.36,28,4.21,100%,2012
Spring,"Wu, Eng",AC347,A1,Intermediate Accounting I,37,4.14,37,3.95,86%,2012
Fall,"Albuquerque, Ana",AC347,B1,Intermediate Accounting I,20,4.3,20,4.1,74%,2012
Spring,"Wu, Eng",AC347,B1,Intermediate Accounting I,42,4.19,42,3.95,86%,2012
Summer,"Wu, Eng",AC347,B1,Intermediate Accounting I,13,4.69,13,4.77,81%,2012
Fall,"Sivakumar, Kumar",AC348,A1,Intermediate Accounting II,19,4.47,19,4.37,66%,2012
Spring,"Hagigi, Moshe",AC348,A1,Intermediate Accounting II,17,4.47,17,4.24,68%,2012
Fall,"Sivakumar, Kumar",AC348,B1,Intermediate Accounting II,43,4.47,43,4.7,86%,2012
Spring,"Hagigi, Moshe",AC348,B1,Intermediate Accounting II,17,4.76,16,4.69,94%,2012
Fall,"Keating, Elizabeth",AC414,A1,Financial Statement Analysis,49,3.45,49,3.39,88%,2012
Spring,"Riedl, Edward",AC414,A1,Financial Statement Analysis,26,5,26,5,93%,2012
Spring,"Riedl, Edward",AC414,B1,Financial Statement Analysis,27,4.89,27,4.93,93%,2012
Spring,"White, James",AC430,A1,Accounting Research,42,3.21,42,3.9,91%,2012
Fall,"Kaufman, Peter",AC469,A1,Principles of Income Taxation I,28,3.79,28,3.75,90%,2012
Spring,"Kaufman, Peter",AC469,A1,Principles of Income Taxation I,32,4.31,32,4.25,78%,2012
Fall,"Kaufman, Peter",AC469,B1,Principles of Income Taxation I,18,4.17,18,4.22,95%,2012
Spring,"Seltz, William",AC541,A1,Advanced Accounting,29,3.31,29,2.48,83%,2012
Summer,"Seltz, William",AC541,A1,Advanced Accounting,9,4.33,9,3.67,90%,2012
Spring,"White, James",AC555,A1,Not for Profit Accounting,14,3.57,14,4.07,58%,2012
Spring,"Wass, Russell",AC565,A1,Auditing,19,4.89,19,5,100%,2012
Summer,"Wass, Russell",AC565,A1,Auditing,13,4.69,13,4.85,100%,2012
Spring,"Wass, Russell",AC565,B1,Auditing,46,4.74,46,4.8,81%,2012
Summer,"Kaufman, Peter",AC579,B1,Principles of Income Taxation II,5,4,5,4.4,100%,2012
Fall,"Zhao, Mengxin",FE323,A1,Financial Management,45,4.36,45,4.44,94%,2012
Spring,"Griner, Kathryn",FE323,A1,Financial Management,38,4.61,39,4.49,95%,2012
Fall,"Osher, Keith",FE323,A2,Financial Management,43,3.93,43,3.98,90%,2012
Spring,"Chadwick, Theodore",FE323,A2,Financial Management,36,3.92,35,3.8,100%,2012
Fall,"Hamid, Shaikh",FE323,A3,Financial Management,43,4,43,3.79,90%,2012
Fall,"Chadwick, Theodore",FE323,A4,Financial Management,37,4.49,37,4.57,95%,2012
Fall,"Griswold, David",FE323,A5,Financial Management,46,4.5,45,4.51,94%,2012
Fall,"Griner, Kathryn",FE323,A6,Financial Management,38,4.71,38,4.82,97%,2012
Fall,"Zhao, Mengxin",FE323,B1,Financial Management,47,4.49,47,4.23,98%,2012
Spring,"Wilson, Raymond",FE323,B1,Financial Management,37,4.95,37,4.97,93%,2012
Fall,"Osher, Keith",FE323,B2,Financial Management,45,4,44,4,94%,2012
Spring,"Chadwick, Theodore",FE323,B2,Financial Management,34,4.32,34,4.03,97%,2012
Fall,"Griner, Kathryn",FE323,B3,Financial Management,47,4.72,47,4.77,98%,2012
Spring,"James, Robert",FE323,B3,Financial Management,41,4.56,41,4.76,98%,2012
Fall,"Chadwick, Theodore",FE323,B4,Financial Management,39,4.41,39,4.31,100%,2012
Fall,"Griswold, David",FE323,B5,Financial Management,45,4.36,45,4.71,94%,2012
Fall,"Albuquerque, Rui",FE427,A1,International Financial Management,20,4.25,20,4.25,77%,2012
Spring,"Szemely, Bela",FE427,A1,International Financial Management,43,4.05,43,3.98,68%,2012
Spring,"Herrerias Franco, Renata",FE429,A1,"Futures, Options & Financial Risk Management",31,3.48,31,3.1,65%,2012
Fall,"Roberts, Mark",FE442,A1,"Money, Financial Markets & Economic Activity",38,4.03,38,4.37,88%,2012
Spring,"Williams, Mark",FE442,A1,"Money, Financial Markets & Economic Activity",42,4.6,41,4.66,86%,2012
Summer,"Roberts, Mark",FE442,A1,"Money, Financial Markets & Economic Activity",22,4.59,22,4.45,85%,2012
Fall,"Williams, Mark",FE442,B1,"Money, Financial Markets & Economic Activity",31,4.32,31,4.58,86%,2012
Spring,"James, Robert",FE442,B1,"Money, Financial Markets & Economic Activity",26,4.38,26,4.46,74%,2012
Fall,"Williams, Mark",FE442,C1,"Money, Financial Markets & Economic Activity",37,4.59,37,4.62,97%,2012
Spring,"Williams, Mark",FE442,C1,"Money, Financial Markets & Economic Activity",48,4.79,49,4.86,92%,2012
Fall,"Spieler, David",FE442,D1,"Money, Financial Markets & Economic Activity",15,4.67,15,4.87,71%,2012
Spring,"Roberts, Mark",FE442,D1,"Money, Financial Markets & Economic Activity",29,4.41,29,4.59,85%,2012
Fall,"Zawadowski, Adam",FE445,A1,Investment Analysis and Portfolio Management,22,4.45,22,4.41,56%,2012
Spring,"Chadwick, Theodore",FE445,A1,Investment Analysis and Portfolio Management,43,4.02,43,3.91,86%,2012
Summer,"Roberts, Mark",FE445,A1,Investment Analysis and Portfolio Management,24,4.29,24,4.13,89%,2012
Fall,"Nowotny, Michael",FE445,B1,Investment Analysis and Portfolio Management,16,4.75,16,4.81,89%,2012
Spring,"Zawadowski, Adam",FE445,B1,Investment Analysis and Portfolio Management,20,4.5,20,4.4,67%,2012
Fall,"Chadwick, Theodore",FE445,C1,Investment Analysis and Portfolio Management,32,4.31,32,4.19,78%,2012
Spring,"Zawadowski, Adam",FE445,C1,Investment Analysis and Portfolio Management,27,4.56,27,4.59,75%,2012
Fall,"Zawadowski, Adam",FE445,D1,Investment Analysis and Portfolio Management,26,4.54,25,4.48,76%,2012
Spring,"James, Robert",FE445,D1,Investment Analysis and Portfolio Management,35,4.51,35,4.46,70%,2012
Fall,"Shaked, Israel",FE449,A1,Corporate Financial Management,31,4.77,31,4.71,84%,2012
Spring,"Shaked, Israel",FE449,A1,Corporate Financial Management,27,4.7,27,4.78,90%,2012
Fall,"Shaked, Israel",FE449,B1,Corporate Financial Management,29,4.59,29,4.72,94%,2012
Spring,"Marquez, Robert",FE449,B1,Corporate Financial Management,26,4.04,26,4.23,68%,2012
Summer,"James, Robert",FE449,B1,Corporate Financial Management,32,4.53,32,4.78,82%,2012
Fall,"Michel, Allen",FE449,C1,Corporate Financial Management,29,4.14,29,4.28,76%,2012
Spring,"Marquez, Robert",FE449,C1,Corporate Financial Management,38,4,38,4.05,81%,2012
Fall,"Szemely, Bela",FE449,D1,Corporate Financial Management,38,4.26,38,4.16,79%,2012
Spring,"Shaked, Israel",FE449,D1,Corporate Financial Management,45,4.76,44,4.8,96%,2012
Fall,"Segal, Steven",FE450,A1,Private Equity: Leveraged Buyouts,13,4.62,13,4.62,100%,2012
Spring,"Segal, Steven",FE450,A1,Private Equity: Leveraged Buyouts,14,4.86,14,4.93,88%,2012
Spring,"Griner, Kathryn",FE454,A1,Investment Banking,24,4.58,24,4.58,100%,2012
Spring,"Griner, Kathryn",FE454,B1,Investment Banking,14,4.71,14,4.86,100%,2012
Fall,"Spieler, David",FE455,A1,Financing New Ventures,30,4.57,30,4.77,97%,2012
Fall,"Munsell, Keith",FE469,A1,Real Estate Finance,24,4.67,24,4.79,96%,2012
Spring,"Munsell, Keith",FE469,A1,Real Estate Finance,35,4.8,35,4.89,90%,2012
Summer,"Munsell, Keith",FE469,A1,Real Estate Finance,12,4.92,12,4.92,86%,2012
Fall,"Rideout, Earl",IM345,A1,International Management Environment,40,4.35,41,4.66,91%,2012
Spring,"Rideout, Earl",IM345,A1,International Management Environment,31,4.16,31,4.19,94%,2012
Summer,"Rideout, Earl",IM345,B1,International Management Environment,19,4.47,19,4.68,95%,2012
Spring,"Rideout, Earl",IM445,A1,International Management Policy,21,4.48,21,4.67,78%,2012
Fall,"Wyner, George",IS323,A1,Introduction to Information Systems,46,4.24,45,4.89,96%,2012
Spring,"Cooray, Shavindrie",IS323,A1,Introduction to Information Systems,38,2.87,37,2.97,95%,2012
Fall,"Watts, Stephanie",IS323,A2,Introduction to Information Systems,46,3.24,46,3.52,96%,2012
Spring,"Allen, Jeffrey",IS323,A2,Introduction to Information Systems,36,3.75,36,4.67,100%,2012
Fall,"Covino, Ralph",IS323,A3,Introduction to Information Systems,39,3.95,39,4.51,81%,2012
Fall,"Allen, Jeffrey",IS323,A4,Introduction to Information Systems,37,3.38,36,4.28,95%,2012
Fall,"Curley, Kathleen",IS323,A5,Introduction to Information Systems,44,3.82,44,4.59,90%,2012
Fall,"Freedman, James",IS323,A6,Introduction to Information Systems,39,3.9,39,4.03,100%,2012
Fall,"Wyner, George",IS323,B1,Introduction to Information Systems,47,4.47,47,4.94,98%,2012
Spring,"Freedman, James",IS323,B1,Introduction to Information Systems,40,3.95,40,4.35,100%,2012
Fall,"Watts, Stephanie",IS323,B2,Introduction to Information Systems,46,3.35,45,3.49,96%,2012
Spring,"Allen, Jeffrey",IS323,B2,Introduction to Information Systems,32,3.66,32,4.5,91%,2012
Fall,"Freedman, James",IS323,B3,Introduction to Information Systems,47,4.28,47,4.6,98%,2012
Spring,"Freedman, James",IS323,B3,Introduction to Information Systems,41,4.12,41,4.85,98%,2012
Fall,"Allen, Jeffrey",IS323,B4,Introduction to Information Systems,38,4.03,38,4.61,97%,2012
Fall,"Curley, Kathleen",IS323,B5,Introduction to Information Systems,34,3.5,34,4.38,71%,2012
Spring,"Stokes, David",IS428,A1,Managing Information Security,16,3.88,16,3.69,89%,2012
Fall,"Sahoo, Nachiketa",IS465,A1,Managing Data Resources,25,3.84,25,3.76,76%,2012
Fall,"Sahoo, Nachiketa",IS465,B1,Managing Data Resources,13,4.08,13,4.15,93%,2012
Spring,"Arena, Scott",IS467,A1,Network and Data Communications,39,3.95,39,4.44,95%,2012
Spring,"Robertie, Laurence",IS469,A1,Designing Information Systems,40,3.38,40,3.28,89%,2012
Fall,"Shore, Jesse",IS472,A1,Electronic Commerce,14,4,14,3.86,93%,2012
Summer,"Allen, Jeffrey",IS479,A1,Innovating with Information Technology,16,4.63,16,4.75,94%,2012
Fall,"Adamsons, Lara",LA245,A1,Introduction to Law,45,4.09,45,4.47,87%,2012
Spring,"Randall, David",LA245,A1,Introduction to Law,34,4.71,34,4.85,87%,2012
Summer,"Spooner, Rachel",LA245,A1,Introduction to Law,31,4.58,31,4.65,89%,2012
Fall,"Spooner, Rachel",LA245,B1,Introduction to Law,44,4.75,44,4.89,81%,2012
Spring,"Spooner, Rachel",LA245,B1,Introduction to Law,38,4.71,38,4.76,83%,2012
Summer,"DiCocco, Jenna",LA245,B1,Introduction to Law,10,4.6,10,4.6,67%,2012
Fall,"Spooner, Rachel",LA245,C1,Introduction to Law,46,4.54,46,4.76,87%,2012
Spring,"Chang, Kabrina",LA245,C1,Introduction to Law,31,4.84,31,4.94,78%,2012
Fall,"Powers, Gina",LA245,D1,Introduction to Law,43,4.53,43,4.7,86%,2012
Spring,"Chang, Kabrina",LA245,D1,Introduction to Law,42,4.79,42,4.93,88%,2012
Fall,"Chang, Kabrina",LA245,E1,Introduction to Law,36,4.47,36,4.67,92%,2012
Spring,"Powers, Gina",LA245,E1,Introduction to Law,30,4.7,30,4.87,77%,2012
Fall,"Randall, David",LA245,F1,Introduction to Law,49,4.63,49,4.78,91%,2012
Fall,"Chang, Kabrina",LA245,G1,Introduction to Law,39,4.36,39,4.64,95%,2012
Spring,"Spooner, Rachel",LA245,G1,Introduction to Law,30,4.63,30,4.83,83%,2012
Fall,"Randall, David",LA245,H1,Introduction to Law,48,4.67,48,4.79,89%,2012
Spring,"Adamsons, Lara",LA245,H1,Introduction to Law,7,4.57,7,4.71,54%,2012
Fall,"Spooner, Rachel",LA346,A1,Law and Ethics,27,4.52,27,4.78,93%,2012
Spring,"Spooner, Rachel",LA346,A1,Law and Ethics,34,4.38,34,4.79,83%,2012
Fall,"Randall, David",LA349,A1,"Intellectual Property, the Internet, and Public Policy",30,4.47,30,4.8,91%,2012
Spring,"Randall, David",LA349,A1,"Intellectual Property, the Internet, and Public Policy",29,4.83,29,4.93,83%,2012
Spring,"Chang, Kabrina",LA355,A1,Employment Law and Public Policy,42,4.71,42,4.76,91%,2012
Spring,"Randall, David",LA360,A1,Real Estate Law,32,4.66,32,4.84,80%,2012
Fall,"Powers, Gina",LA450,A1,Advanced Business Law,29,4.66,29,4.83,91%,2012
Spring,"Hanna, John",LA450,A1,Advanced Business Law,20,5,20,5,95%,2012
Fall,"Kurt, Didem",MK323,A1,Marketing Management,41,4.05,41,4.02,85%,2012
Spring,"Utter, Deborah",MK323,A1,Marketing Management,36,4.19,36,4.36,90%,2012
Fall,"Pai, Seema",MK323,A2,Marketing Management,39,4.28,39,4.44,81%,2012
Spring,"Pai, Seema",MK323,A2,Marketing Management,34,4,34,4.09,94%,2012
Fall,"Meier, Carol",MK323,A3,Marketing Management,41,4.29,41,4.1,85%,2012
Fall,"Hibbard, Jonathan",MK323,A4,Marketing Management,38,4.32,38,4.66,97%,2012
Fall,"Teopaco, John",MK323,A5,Marketing Management,45,3.67,45,2.87,92%,2012
Fall,"Utter, Deborah",MK323,A6,Marketing Management,39,4.56,39,4.67,100%,2012
Fall,"Kurt, Didem",MK323,B1,Marketing Management,47,3.81,47,3.38,98%,2012
Spring,"Utter, Deborah",MK323,B1,Marketing Management,37,4.16,37,4.08,93%,2012
Fall,"Pai, Seema",MK323,B2,Marketing Management,45,4.51,46,4.83,94%,2012
Spring,"Hibbard, Jonathan",MK323,B2,Marketing Management,33,4.48,33,4.85,94%,2012
Fall,"Utter, Deborah",MK323,B3,Marketing Management,48,4.42,48,4.4,100%,2012
Spring,"Ames, Nicole",MK323,B3,Marketing Management,40,4.1,40,4.3,95%,2012
Fall,"Hibbard, Jonathan",MK323,B4,Marketing Management,38,4.24,38,4.13,97%,2012
Fall,"Teopaco, John",MK323,B5,Marketing Management,42,3.76,44,3.25,88%,2012
Fall,"Chandran, Sucharita",MK445,A1,Consumer Behavior,34,4.38,34,4.68,81%,2012
Spring,"Chandran, Sucharita",MK445,A1,Consumer Behavior,32,4.25,32,4.69,73%,2012
Fall,"Sekhon, Tejvir",MK445,B1,Consumer Behavior,11,3.45,11,3.64,79%,2012
Spring,"Chandran, Sucharita",MK445,B1,Consumer Behavior,32,4.16,32,4.38,84%,2012
Fall,"Grant, Susan Jung",MK447,A1,Marketing Research,31,3.68,30,3.8,78%,2012
Spring,"Banasiewicz, Andrew",MK447,A1,Marketing Research,32,3.56,31,3.84,70%,2012
Fall,"Grant, Susan Jung",MK447,B1,Marketing Research,17,3.47,17,3.94,89%,2012
Spring,"Banasiewicz, Andrew",MK447,B1,Marketing Research,31,3.13,30,3.03,70%,2012
Spring,"Teopaco, John",MK449,A1,Business Marketing,15,4.13,15,4.53,94%,2012
Spring,"Clarke, Roberta",MK463,A1,Services Marketing and Management,23,4.22,23,4.3,92%,2012
Spring,"Paul, William",MK465,A1,Retailing Management,21,3.81,21,4.14,78%,2012
Fall,"Hambrick, Patricia",MK467,A1,International Marketing Management,8,4.13,8,3.63,89%,2012
Spring,"Hambrick, Patricia",MK467,A1,International Marketing Management,20,4.25,20,4.4,74%,2012
Summer,"Hibbard, Jonathan",MK468,A1,Advanced Marketing Strategy,7,4.86,7,5,100%,2012
Fall,"Utter, Deborah",MK469,A1,Advertising and Promotional Strategy,30,4.77,30,4.9,100%,2012
Spring,"Utter, Deborah",MK469,A1,Advertising and Promotional Strategy,29,4.41,29,4.52,94%,2012
Fall,"Utter, Deborah",MK469,B1,Advertising and Promotional Strategy,30,4.6,30,4.8,97%,2012
Spring,"Utter, Deborah",MK469,B1,Advertising and Promotional Strategy,31,4.48,31,4.74,94%,2012
Summer,"Utter, Deborah",MK486,A1,Internet Marketing,8,4.75,8,4.75,89%,2012
Fall,"Hambrick, Patricia",MK487,A1,Branding,30,4.53,30,4.67,100%,2012
Spring,"Alvarez Martinez, Claudio",MK487,A1,Branding,23,4.13,23,4.35,55%,2012
Fall,"Deacon Carr, Sandra",OB221,B1,The Dynamics of Leading Organizations,30,4.37,30,4.73,94%,2012
Spring,"Deacon Carr, Sandra",OB221,B1,The Dynamics of Leading Organizations,29,3.86,29,4.66,97%,2012
Fall,"Hutchinson, Paul",OB221,B2,The Dynamics of Leading Organizations,30,4.7,30,4.8,100%,2012
Spring,"French, James",OB221,B2,The Dynamics of Leading Organizations,33,4.36,33,4.79,100%,2012
Fall,"Agan, Chuck",OB221,B3,The Dynamics of Leading Organizations,30,4.17,30,4.93,97%,2012
Spring,"Sullivan, Richard",OB221,B3,The Dynamics of Leading Organizations,34,3.32,34,4.12,94%,2012
Fall,"McCormack, Kristen",OB221,B4,The Dynamics of Leading Organizations,30,4.03,30,4.13,100%,2012
Spring,"Hutchinson, Paul",OB221,B4,The Dynamics of Leading Organizations,33,4.39,33,4.97,92%,2012
Fall,"French, James",OB221,B5,The Dynamics of Leading Organizations,28,4.43,28,4.89,97%,2012
Fall,"Agan, Chuck",OB221,C1,The Dynamics of Leading Organizations,34,3.82,34,4.74,97%,2012
Spring,"French, James",OB221,C1,The Dynamics of Leading Organizations,28,4.54,28,4.75,97%,2012
Fall,"Lach, Claudia",OB221,C2,The Dynamics of Leading Organizations,33,3.85,33,3.85,100%,2012
Spring,"Nichols, Rebecca",OB221,C2,The Dynamics of Leading Organizations,34,3.94,34,4.35,100%,2012
Fall,"French, James",OB221,C3,The Dynamics of Leading Organizations,34,4.41,34,4.79,100%,2012
Spring,"Agan, Chuck",OB221,C3,The Dynamics of Leading Organizations,31,4.16,31,4.9,91%,2012
Fall,"Bachman, William",OB221,C4,The Dynamics of Leading Organizations,30,3.97,30,4.67,97%,2012
Spring,"Chung, Yoo Jin",OB221,C4,The Dynamics of Leading Organizations,33,3.64,33,4.21,97%,2012
Spring,"Lach, Claudia",OB221,C5,The Dynamics of Leading Organizations,31,3.45,31,3.32,94%,2012
Fall,"McCarthy, Jack",OB221,D1,The Dynamics of Leading Organizations,36,4.22,36,4.61,100%,2012
Spring,"McCarthy, Jack",OB221,D1,The Dynamics of Leading Organizations,33,4.21,34,4.76,92%,2012
Fall,"French, James",OB221,D2,The Dynamics of Leading Organizations,35,4.4,35,4.8,97%,2012
Spring,"French, James",OB221,D2,The Dynamics of Leading Organizations,36,4.14,36,4.64,100%,2012
Fall,"Chung, Yoo Jin",OB221,D3,The Dynamics of Leading Organizations,33,4.33,33,4.7,94%,2012
Spring,"Dwyer, Tom",OB221,D3,The Dynamics of Leading Organizations,34,3.32,34,4.29,94%,2012
Fall,"Sullivan, Richard",OB221,D4,The Dynamics of Leading Organizations,36,3.67,36,4.03,100%,2012
Spring,"Feldman, Elana",OB221,D4,The Dynamics of Leading Organizations,35,3.54,35,4.17,100%,2012
Spring,"Foulkes, Fred",OB441,A1,Human Resource Management,31,4.13,30,4.33,91%,2012
Fall,"Chung, Yoo Jin",OB444,A1,International Management,8,5,8,5,100%,2012
Fall,"Brown, Michael",OB448,A1,Negotiations,38,4.37,39,4.46,90%,2012
Spring,"Fellows, Steven",OB448,A1,Negotiations,25,4.68,25,4.72,81%,2012
Fall,"Deacon Carr, Sandra",OB460,A1,The Leadership Challenge,17,4.47,17,4.94,100%,2012
Spring,"Heaphy, Emily",OB460,A1,The Leadership Challenge,6,4.17,6,4.67,75%,2012
Fall,"Kadets, Barry",OM323,A1,Operations and Technology Management,46,4.46,46,4.74,96%,2012
Spring,"Morrison, Paul",OM323,A1,Operations and Technology Management,34,4.18,34,4.62,85%,2012
Fall,"Neale, John",OM323,A2,Operations and Technology Management,46,4.8,46,4.87,96%,2012
Spring,"Kadets, Barry",OM323,A2,Operations and Technology Management,34,4.21,34,4.71,94%,2012
Fall,"Morrison, Paul",OM323,A3,Operations and Technology Management,40,4.4,40,4.78,83%,2012
Fall,"Parker, Delvon",OM323,A4,Operations and Technology Management,35,4.71,35,4.86,90%,2012
Fall,"Pandey, Rakesh",OM323,A5,Operations and Technology Management,45,4.13,46,4.39,92%,2012
Fall,"Lee, Yoo Taek",OM323,A6,Operations and Technology Management,39,4.21,39,4.21,100%,2012
Fall,"Kadets, Barry",OM323,B1,Operations and Technology Management,46,4.46,46,4.76,96%,2012
Spring,"Morrison, Paul",OM323,B1,Operations and Technology Management,38,4.55,38,4.79,95%,2012
Fall,"Neale, John",OM323,B2,Operations and Technology Management,47,4.7,47,4.87,98%,2012
Spring,"Kadets, Barry",OM323,B2,Operations and Technology Management,30,4.43,30,4.87,86%,2012
Fall,"Morrison, Paul",OM323,B3,Operations and Technology Management,48,4.42,48,4.65,100%,2012
Spring,"Tumolo, Paul",OM323,B3,Operations and Technology Management,39,3.69,39,3.1,93%,2012
Fall,"Parker, Delvon",OM323,B4,Operations and Technology Management,38,4.53,38,4.95,97%,2012
Fall,"Lee, Yoo Taek",OM323,B5,Operations and Technology Management,45,4.31,45,4.64,94%,2012
Fall,"Rosenthal, Stephen",OM440,A1,Operations Strategy,35,3,35,2.97,92%,2012
Spring,"Rosenthal, Stephen",OM440,A1,Operations Strategy,44,3.57,44,3.73,92%,2012
Fall,"Willems, Sean",OM441,A1,Operations Analysis,36,4.53,36,4.64,97%,2012
Spring,"Willems, Sean",OM441,A1,Operations Analysis,36,4.33,36,4.61,86%,2012
Spring,"Morrison, Paul",OM447,A1,Operations Management in Service Sector,10,4.3,10,4.7,71%,2012
Fall,"Rosenthal, Stephen",OM453,A1,Project Management,31,3.42,31,3.45,94%,2012
Spring,"Kim, Jay",OM467,A1,Global Supply Management,19,4.37,19,4.58,73%,2012
Spring,"Cohen, Alan",PL430,A1,U.S. Health Reform in the 21st Century,6,4.67,6,4.67,86%,2012
Spring,"Maurer, Robert",QM450,B1,Business Analytics: Spreadsheet Optimization and Simulation,11,4.09,11,4.18,85%,2012
Fall,"Molander, Erik",SI422,A1,Strategy and Policy,40,3.83,40,3.93,83%,2012
Spring,"Collier, Gregory",SI422,A1,Strategy and Policy,28,4.39,28,4.64,76%,2012
Summer,"Guo, Zining",SI422,A1,Strategy and Policy,27,4.33,27,4.33,93%,2012
Fall,"McManus, Paul",SI422,B1,Strategy and Policy,4,4.75,4,4.5,10%,2012
Spring,"Grodal, Stine",SI422,B1,Strategy and Policy,28,3.5,28,3.89,76%,2012
Fall,"Kirks, John",SI422,C1,Strategy and Policy,39,4.85,39,4.95,98%,2012
Spring,"Grodal, Stine",SI422,C1,Strategy and Policy,31,3.77,31,3.9,86%,2012
Fall,"Kirks, John",SI422,D1,Strategy and Policy,40,4.48,40,4.75,100%,2012
Spring,"Grodal, Stine",SI422,D1,Strategy and Policy,29,4,29,4.38,76%,2012
Fall,"Furman, Jeffrey",SI422,E1,Strategy and Policy,41,4.68,41,4.9,91%,2012
Spring,"Molander, Erik",SI422,E1,Strategy and Policy,32,3.94,32,4.44,86%,2012
Fall,"Collier, Gregory",SI422,F1,Strategy and Policy,33,4.3,33,4.67,97%,2012
Spring,"Kirks, John",SI422,F1,Strategy and Policy,40,4.55,40,4.85,100%,2012
Fall,"Collier, Gregory",SI422,G1,Strategy and Policy,39,4.23,39,4.79,95%,2012
Spring,"Collier, Gregory",SI422,G1,Strategy and Policy,39,4.56,39,4.87,93%,2012
Fall,"Kirks, John",SI422,H1,Strategy and Policy,35,4.69,35,4.97,97%,2012
Fall,"Molander, Erik",SI443,A1,Art of the Start,32,2.72,32,2.84,84%,2012
